Month,Product,Category,Units_Sold,Unit_Price,Revenue,Discount_Rate,Net_Revenue,Customer_Rating,Returns
2023-01,Laptop,Audio,113,15491.348399426939,1759817.1781749004,0.11695365004091539,1554000.1357826418,4.395275236919731,3
2023-01,Smartphone,Audio,99,37280.6624653035,3698241.7165581076,0.05005629167085327,3513121.450524758,3.7143002268829113,3
2023-01,Tablet,Computers,40,58037.90300907916,2367946.44277043,0.1407829063523625,2034580.0604704707,3.5011681487615216,2
2023-01,Camera,Computers,85,42455.75809894679,3634212.8932698458,0.06479175279631737,3398745.869879917,3.936843710297063,2
2023-01,Headphones,Mobile,51,37029.52875314584,1895911.872161067,0.11777639420895203,1672618.208119993,3.7995106732375397,1
2023-01,Smartwatch,Accessories,144,68935.29213216933,9926682.067032384,0.10204613078816695,8913702.570527446,4.175748877954314,1
2023-01,Speaker,Computers,87,45499.7692097976,3967579.8750943514,0.05781247538098741,3738204.261243358,3.5239493783303213,1
2023-01,Monitor,Accessories,128,54977.8179872112,7037160.702363034,0.09149949866739314,6393264.0260549355,4.749792367604247,2
2023-01,Keyboard,Computers,79,53339.26046396457,4224469.428745994,0.04675666141341164,4026947.3420148096,4.280102031766717,2
2023-01,Mouse,Mobile,156,62235.49304552805,9708736.915102376,0.14092484123462837,8340534.7067527985,4.842241025641473,5
2023-01,Printer,Accessories,51,7990.90766210164,409134.472299604,0.029397429362871777,397106.9705502605,3.567840933365807,1
2023-01,Router,Accessories,104,43635.678458737304,4573019.10247567,0.08801267484957723,4170535.4591285735,4.947882960896207,3
2023-01,USB Hub,Computers,72,24405.60695062251,1757203.7004448208,0.024790040859450375,1713642.5489124164,3.523454610111791,1
2023-01,Webcam,Computers,148,1436.2472527645896,212564.59340915925,0.12231921426822512,186563.85936210616,4.560286015771426,5
2023-01,Microphone,Computers,137,6849.527486993138,942494.9822102558,0.05376985928164089,891817.1596431577,3.6738035892876946,6
2023-02,Laptop,Accessories,48,27140.943963359285,1324478.0654119332,0.009533752542903545,1311850.8192877923,3.9664734825734933,1
2023-02,Smartphone,Audio,122,22703.021646215067,2778849.8494967245,0.08418651387715517,2544908.1680795383,4.074390312130685,5
2023-02,Tablet,Audio,40,58016.63217202498,2320665.2868809993,0.03539773796234336,2238518.9851576793,3.884102484141986,0
2023-02,Camera,Audio,51,9760.374844134674,499731.19201969536,0.06590047527986552,466798.6689534237,3.8025788035030943,2
2023-02,Headphones,Computers,80,45498.77018613431,3676300.6310396525,0.10432741296391912,3292761.6969256625,3.7089971816088134,2
2023-02,Smartwatch,Audio,62,19075.055073838175,1190283.4366075022,0.011546986474318949,1176539.2498643894,3.934627179370652,1
2023-02,Speaker,Mobile,75,24355.061181179404,1831500.6008246914,0.015824138974540592,1802518.680785287,4.184801855724365,1
2023-02,Monitor,Accessories,63,70779.1404545906,4473241.676730126,0.048651753150791094,4255610.626890021,3.68313193205101,1
