Product,Units_Sold,Net_Revenue,Customer_Rating,Returns

Camera,1427,52747055.058796555,4.439159492588547,44
Headphones,1689,58567060.29104113,4.374801767433954,43
Keyboard,1381,58689702.203944236,4.2715290529223084,28
Laptop,1612,43431177.98279798,4.323137530670263,47
Microphone,1469,36936918.843796045,4.290309982877047,40
Monitor,1618,72339831.05754133,4.0669555736670615,31
Mouse,1622,64186410.27629468,4.3601669623804264,42
Printer,1834,80347689.66626579,4.216884561276863,53
Router,1824,80155084.26728825,4.210176278493682,45
Smartphone,1754,59989328.05307034,4.164939759690932,45
Smartwatch,1565,68021800.74792086,4.31392421544315,38
Speaker,1584,64755574.44978525,4.346475238087364,49
Tablet,1449,54356112.157269195,4.024798638450917,36
USB Hub,1575,73034562.58188362,4.302331321148062,49
Webcam,1548,63847525.60105054,4.247086724403216,41
